Name: Ntoskrnl.exe

Description: Windows NT Executive


Ordinal	Exported
Value:	Name:
877		ZwEnumerateValueKey
878		ZwFlushInstructionCache
879		ZwFlushKey
880		ZwFreeVirtualMemory
881		ZwFsControlFile
882		ZwLoadDriver
883		ZwLoadKey
884		ZwMakeTemporaryObject
885		ZwMapViewOfSection
886		ZwNotifyChangeKey
887		ZwOpenDirectoryObject
888		ZwOpenEvent
889		ZwOpenFile
890		ZwOpenKey
891		ZwOpenProcess
892		ZwOpenProcessToken
893		ZwOpenSection
894		ZwOpenSymbolicLinkObject
895		ZwOpenThread
896		ZwOpenThreadToken
897		ZwPulseEvent
898		ZwQueryDefaultLocale
899		ZwQueryDirectoryFile
900		ZwQueryInformationFile
901		ZwQueryInformationProcess
902		ZwQueryInformationToken
903		ZwQueryKey
904		ZwQueryObject
905		ZwQuerySection
906		ZwQuerySecurityObject
907		ZwQuerySymbolicLinkObject
908		ZwQuerySystemInformation
909		ZwQueryValueKey
910		ZwQueryVolumeInformationFile
911		ZwReadFile
912		ZwReplaceKey
913		ZwRequestWaitReplyPort
914		ZwResetEvent
915		ZwSaveKey
916		ZwSetDefaultLocale
917		ZwSetEvent
918		ZwSetInformationFile
919		ZwSetInformationObject
920		ZwSetInformationProcess
921		ZwSetInformationThread
922		ZwSetSystemInformation
923		ZwSetSystemTime
924		ZwSetValueKey
925		ZwTerminateProcess
926		ZwUnloadDriver
